,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_275,1519.527947,58296.28906,335.0920882,7624.795943,,,,,
Run_276,1519.527947,58296.28905,335.8350431,7682.195301,,,,,
Run_277,1519.527947,58296.28905,334.5454311,7582.559576,,,,,
Run_278,1176.829751,58636.6699,335.0881064,7609.516823,,,,,
Run_279,1905.676059,57914.24719,292.8325762,8568.862136,,,,,
Run_280,50078.37249,12526.79306,425.5949376,17932.0596,,,,,
Run_281,50384.17461,13245.9353,303.1680041,28573.22947,,,,,
Run_282,62132.77002,3342.861573,171.4191553,6605.344961,,,,,
Run_283,62132.77002,3342.861573,171.1014781,6564.902299,,,,,
Run_284,62132.77002,3342.861573,171.5250212,6618.819054,,,,,
Run_285,62141.47863,3334.368267,171.6725945,6618.065304,,,,,
Run_286,60018.87924,3268.364007,166.9922281,6344.93949,,,,,
Run_287,7717.59232,51931.28759,90.78594428,2571.919693,,,,,
Run_288,62132.77002,3342.861573,171.5250212,6618.819054,,,,,
Run_289,0.002614697,5499.413687,450868.3472,2106096.996,,,,,
Run_290,0.001141741,3219.856408,124937.5588,708499.3996,,,,,
Run_291,0.002614697,5499.41393,450878.2461,2106139.246,,,,,
Run_292,0.002614697,5499.41363,450865.459,2106085.073,,,,,
Run_293,0.002614697,5499.413687,450868.3472,2106096.996,,,,,
Run_294,0.001866514,4402.491335,500701.1023,2272439.855,,,,,
Run_295,0.002576484,5134.760846,627829.2077,2319082.757,,,,,
Run_296,0.001035839,3243.882895,21645966.29,55985152.5,,,,,
Run_297,0.001072495,3234.683025,38686355.12,90243110.22,,,,,
Run_298,0.000929194,3183.244569,2419319.985,6996690.926,,,,,
Run_299,0.000929201,3183.246941,2419322.743,6996697.011,,,,,
Run_300,0.000929201,3183.246805,2419322.67,6996696.814,,,,,
Run_301,0.000938069,3183.942023,2652394.429,6990779.374,,,,,
Run_302,0.000817106,3141.146013,1286058.732,4856237.922,,,,,
Run_303,0.001242911,3261.598959,165737.7687,771710.6735,,,,,
Run_304,0.000929201,3183.246805,2419322.67,6996696.814,,,,,
Run_305,0.111482333,59420.44429,63963.71839,9836.194675,,,,,
Run_306,0.112248787,59660.95172,47207.34358,9098.617031,,,,,
Run_307,0.111482333,59420.44428,63635.8945,9500.636987,,,,,
Run_308,0.111482333,59420.44423,60503.77808,6665.127696,,,,,
Run_309,0.111482333,59420.44429,63963.71839,9836.194675,,,,,
Run_310,0.111437516,59403.30376,64911.09194,10186.63142,,,,,
Run_311,0.111204334,59338.97738,66661.37685,11583.71834,,,,,
Run_312,0.052885526,35567.13053,64094.19597,404850.1037,,,,,
Run_313,0.042512552,30963.90358,45461.57739,275828.4902,,,,,
Run_314,0.065942608,41196.18781,72009.70086,454072.8108,,,,,
Run_315,0.065942608,41196.18803,85917.36396,613147.1458,,,,,
Run_316,0.065942608,41196.18773,63998.74829,348712.4977,,,,,
Run_317,0.067596188,41887.73944,64983.27324,336352.7244,,,,,
Run_318,0.07329433,44214.79391,64945.81579,292522.6677,,,,,
Run_319,0.112048839,59602.28677,48887.69062,5869.101528,,,,,
Run_320,0.065942608,41196.18773,63998.74829,348712.4977,,,,,
Run_321,0.000864525,3178.221304,4969239.015,23158104.47,,,,,
Run_322,0.000853731,3177.340858,2853728.918,15015985.92,,,,,
Run_323,0.000864533,3178.223936,4969241.394,23158113.36,,,,,
Run_324,0.000864533,3178.223788,4969241.299,23158112.99,,,,,
Run_325,0.000864525,3178.221304,4969239.015,23158104.47,,,,,
Run_326,0.000861753,3178.001785,4847998.8,23166911.62,,,,,
Run_327,0.000864525,3178.221304,4969239.015,23158104.47,,,,,
Run_328,0.041289712,30418.59674,65548.45763,615798.7822,,,,,
Run_329,0.039762289,29705.98808,64386.15747,629597.1325,,,,,
Run_330,0.034007737,26964.48639,56238.22267,567373.4018,,,,,
Run_331,0.034007737,26964.48639,56244.75452,567468.5499,,,,,
Run_332,0.034007737,26964.48639,56298.71303,568256.1426,,,,,
Run_333,0.035479602,27678.13066,57718.43429,560172.0833,,,,,
Run_334,0.034007737,26964.48639,56298.71303,568256.1426,,,,,
Run_335,0.000850952,3177.122842,2777246.451,15020128.28,,,,,
Run_336,0.034007737,26964.48639,56298.71303,568256.1426,,,,,
Run_337,0.095759217,53198.28789,103131.3298,316347.3458,,,,,
Run_338,0.094379709,52667.93129,102027.3619,312332.074,,,,,
Run_339,0.095759217,53198.28788,102887.2701,314612.8614,,,,,
Run_340,0.095759217,53198.28788,102925.0848,314881.5562,,,,,
Run_341,0.095759217,53198.28789,103131.3298,316347.3458,,,,,
Run_342,0.09372786,52404.90439,102933.4628,351148.8566,,,,,
Run_343,0.098972415,54469.09691,96583.36236,255275.9833,,,,,
Run_344,0.002097065,3780.496929,3588195949,12580994385,,,,,
Run_345,0.001327004,3474.936488,801230159.6,3935981501,,,,,
Run_346,0.001321638,3471.518874,600851172.9,2925798871,,,,,
Run_347,0.001321499,3471.477286,600851146.1,2925798732,,,,,
Run_348,0.001319457,3470.843635,600850202.7,2925794113,,,,,
Run_349,0.00132188,3471.432648,626645715.4,2923599632,,,,,
Run_350,0.002013892,3753.887286,2625251475,9307329707,,,,,
Run_351,0.096030704,53328.12228,94899.87141,275825.9033,,,,,
Run_352,0.001319457,3470.843635,600850202.7,2925794113,,,,,
Run_353,825437.3215,5850.797156,8731.256777,1395763.484,,,,,
Run_354,825385.7002,5812.229756,6964.059961,1131998.251,,,,,
Run_355,825437.3214,5850.797142,6021.977456,996969.1277,,,,,
Run_356,825437.3214,5850.797147,7039.303153,1151672.452,,,,,
Run_357,825437.3215,5850.797156,8731.256777,1395763.484,,,,,
Run_358,0.004698672,3949.94286,3523613285,4253565808,,,,,
Run_359,1213357.388,7152.082438,15490.24391,2443298.443,,,,,
Run_360,0.561766012,59823.71174,8659.108969,4573.508461,,,,,
Run_361,0.112536783,59803.5582,11079.5633,3830.316711,,,,,
Run_362,0.112475736,59789.91475,12233.34048,4663.063384,,,,,
Run_363,0.112475736,59789.91475,12217.28526,4380.725975,,,,,
Run_364,0.112475736,59789.91475,12177.69511,3743.405643,,,,,
Run_365,0.634635809,59801.92006,8348.792275,3609.00662,,,,,
Run_366,0.112538,59801.01879,12823.20513,3418.704143,,,,,
Run_367,0.006374677,4184.001802,2967748325,3450837348,,,,,
Run_368,0.112475736,59789.91475,12177.69511,3743.405643,,,,,
Run_369,0.000782192,3097.761822,28544.79378,557585.7098,,,,,
Run_370,0.000736605,3083.069204,15835.64915,393950.0823,,,,,
Run_371,0.000782192,3097.761821,28544.74836,557585.2092,,,,,
Run_372,0.000782192,3097.761821,28544.75498,557585.282,,,,,
Run_373,0.000782192,3097.761822,28544.79378,557585.7098,,,,,
Run_374,0.000772755,3094.753493,27606.43946,557638.0338,,,,,
Run_375,0.000852618,3131.418687,49623.84164,616473.9,,,,,
Run_376,0.000682838,3089.978754,178331.2358,2229443.96,,,,,
Run_377,0.000770906,3137.51648,470922.2836,3744150.699,,,,,
Run_378,0.000758609,3136.54517,166635.6576,1904937.931,,,,,
Run_379,0.000758609,3136.545169,166635.6562,1904937.921,,,,,
Run_380,0.000758609,3136.545159,166635.6477,1904937.853,,,,,
Run_381,0.000761148,3136.746042,174126.5815,1904813.898,,,,,
Run_382,0.000676275,3089.462172,64660.50056,1214514.505,,,,,
Run_383,0.000772207,3104.571245,24324.48208,425799.6747,,,,,
Run_384,0.000758609,3136.545159,166635.6477,1904937.853,,,,,
Run_385,151532.265,3629.809218,341.9534354,24895.29913,,,,,
Run_386,151175.5463,3999.385329,393.9902792,50168.11451,,,,,
Run_387,151532.265,3629.809218,348.9965088,26411.66937,,,,,
Run_388,151532.265,3629.809218,328.8360374,22033.09392,,,,,
Run_389,151532.265,3629.809218,341.9534354,24895.29913,,,,,
Run_390,0.00086636,3178.307234,564014.2709,3216870.521,,,,,
Run_391,103079.661,3375.381221,163.9041757,12014.94841,,,,,
Run_392,9.130540271,59694.19576,4093.589177,3176.408336,,,,,
Run_393,0.111162707,59353.86122,64345.38756,6620.104332,,,,,
Run_394,0.112097505,59637.22529,45444.83266,6062.050443,,,,,
Run_395,0.112097505,59637.2253,45870.67567,6813.537725,,,,,
Run_396,0.112097505,59637.2253,45737.87864,6571.608073,,,,,
Run_397,4.063275911,59805.05865,9229.106801,3623.543436,,,,,
Run_398,0.111801462,59561.16811,50493.77552,8487.317966,,,,,
Run_399,0.000696228,3091.035495,1145023.992,7223817.843,,,,,
Run_400,0.112097505,59637.2253,45737.87864,6571.608073,,,,,
