,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_304,0.002579961,3908.430668,171539850.8,488118542.2,,,,,
Run_305,0.00127726,3458.896782,20218275.19,191871828.3,,,,,
Run_306,0.001296632,3463.765902,276705448.6,1818470961,,,,,
Run_307,0.001277136,3458.84708,20160470.84,191589848.1,,,,,
Run_308,0.001276745,3458.577521,5316463.026,89018152.26,,,,,
Run_309,0.00127726,3458.896775,20217910.87,191871838.2,,,,,
Run_310,0.001276193,3458.876909,19670766.08,191897484.5,,,,,
Run_311,0.00184094,3701.453644,84047494,542399138.2,,,,,
Run_312,0.00127726,3458.896782,20218275.19,191871828.3,,,,,
Run_313,0.001834899,3699.949167,4595335.832,90182956.54,,,,,
Run_314,0.001881753,3702.767829,348486923.9,2262598352,,,,,
Run_315,0.001907208,3719.697282,1195285397,5693809691,,,,,
Run_316,0.001880034,3700.80695,79969735.03,794249481.5,,,,,
Run_317,0.001882991,3700.848032,82161177.11,794198045.1,,,,,
Run_318,0.001287902,3458.758992,19340171.85,289474882.5,,,,,
Run_319,0.001880034,3700.806936,79967473.17,794249511.7,,,,,
Run_320,0.001880034,3700.806936,79967473.17,794249511.7,,,,,
Run_321,0.002441687,3913.800178,511175593.8,2541703753,,,,,
Run_322,0.002407205,3908.270638,252553750.2,1407511547,,,,,
Run_323,0.002442776,3914.134326,511175955.7,2541705147,,,,,
Run_324,0.002442713,3914.115441,511175942.6,2541705096,,,,,
Run_325,0.002442329,3914.175303,528782483,2540305298,,,,,
Run_326,0.002434692,3913.474809,498459302.7,2542654524,,,,,
Run_327,0.002441687,3913.800178,511175593.8,2541703753,,,,,
Run_328,0.002441687,3913.800178,511175593.8,2541703753,,,,,
Run_329,0.002436963,3914.343804,515933736.1,2541300440,,,,,
Run_330,0.002401185,3908.427618,255158575.1,1407380173,,,,,
Run_331,0.002401217,3908.43712,255158581.9,1407380201,,,,,
Run_332,0.002401111,3908.305034,245655109.2,1407887668,,,,,
Run_333,0.002408382,3908.729197,262185728.5,1406981981,,,,,
Run_334,0.002401481,3908.51635,255158627.7,1407380396,,,,,
Run_335,0.002401481,3908.51635,255158627.7,1407380396,,,,,
Run_336,0.002401481,3908.51635,255158627.7,1407380396,,,,,
